observable;cc;tags;description
51.15.13.245;FR;tor;Tor Exit Node
93.220.105.244;DE;tor;Tor Exit Node
92.222.74.226;FR;tor;Tor Exit Node
192.87.28.82;NL;tor;Tor Exit Node
192.87.28.28;NL;tor;Tor Exit Node
5.196.239.114;FR;tor;Tor Exit Node
208.113.129.191;US;tor;Tor Exit Node
46.98.200.86;UA;tor;Tor Exit Node
192.155.95.222;US;tor;Tor Exit Node
189.115.171.88;BR;tor;Tor Exit Node
176.31.200.122;FR;tor;Tor Exit Node
43.252.228.31;HK;tor;Tor Exit Node
78.142.175.70;AT;tor;Tor Exit Node
82.207.201.143;DE;tor;Tor Exit Node
37.200.98.117;DE;tor;Tor Exit Node
37.187.99.161;FR;tor;Tor Exit Node
77.73.65.100;RU;tor;Tor Exit Node
151.80.56.62;IT;tor;Tor Exit Node
80.169.241.76;GB;tor;Tor Exit Node
185.19.30.0;CH;tor;Tor Exit Node
82.1.241.19;GB;tor;Tor Exit Node
94.248.7.65;UA;tor;Tor Exit Node
104.218.63.75;CA;tor;Tor Exit Node
75.54.229.204;US;tor;Tor Exit Node
85.181.254.40;DE;tor;Tor Exit Node
46.246.49.158;SE;tor;Tor Exit Node
46.246.40.172;SE;tor;Tor Exit Node
91.92.109.72;BG;tor;Tor Exit Node
84.141.64.85;DE;tor;Tor Exit Node
95.79.62.192;RU;tor;Tor Exit Node
92.195.86.20;DE;tor;Tor Exit Node
46.166.162.53;LT;tor;Tor Exit Node
54.229.150.176;US;tor;Tor Exit Node
88.130.4.1;DE;tor;Tor Exit Node
46.4.77.210;DE;tor;Tor Exit Node
108.69.109.88;US;tor;Tor Exit Node
82.211.0.201;DE;tor;Tor Exit Node
79.172.193.32;HU;tor;Tor Exit Node
207.192.69.165;US;tor;Tor Exit Node
87.123.102.246;DE;tor;Tor Exit Node
81.7.18.97;DE;tor;Tor Exit Node
87.120.254.186;BG;tor;Tor Exit Node
92.63.173.28;NL;tor;Tor Exit Node
162.104.219.206;US;tor;Tor Exit Node
91.221.57.129;RU;tor;Tor Exit Node
88.77.137.197;DE;tor;Tor Exit Node
194.67.214.123;RU;tor;Tor Exit Node
188.68.45.180;DE;tor;Tor Exit Node
74.50.54.69;US;tor;Tor Exit Node
198.101.8.214;US;tor;Tor Exit Node
46.194.167.162;SE;tor;Tor Exit Node
45.76.179.27;US;tor;Tor Exit Node
77.37.146.245;RU;tor;Tor Exit Node
107.170.232.75;US;tor;Tor Exit Node
43.252.230.129;HK;tor;Tor Exit Node
209.141.34.59;US;tor;Tor Exit Node
65.19.167.134;US;tor;Tor Exit Node
104.131.206.23;US;tor;Tor Exit Node
191.34.124.8;BR;tor;Tor Exit Node
192.42.115.102;NL;tor;Tor Exit Node
192.42.113.102;NL;tor;Tor Exit Node
62.210.85.56;FR;scanner;seen initiating an SSH connection
67.212.80.168;CA;scanner;seen initiating an SSH connection
96.241.179.107;US;scanner;seen attempting to remotely login using SSH password authentication
192.241.151.117;US;scanner;seen initiating an SSH connection
74.82.47.26;US;scanner;identified as sending recursive DNS queries to a remote host
1.241.55.171;KR;scanner;seen attempting to remotely login using SSH password authentication
54.201.55.116;US;scanner;seen attempting to remotely login using SSH password authentication
103.89.88.133;VN;scanner;seen attempting to remotely login using SSH password authentication
94.232.174.182;IR;scanner;seen attempting to remotely login using SSH password authentication
85.69.56.213;FR;scanner;seen attempting to remotely login using SSH password authentication
187.38.186.230;BR;scanner;seen attempting to remotely login using SSH password authentication
74.82.47.62;US;scanner;identified as sending recursive DNS queries to a remote host
74.82.47.18;US;scanner;identified as sending recursive DNS queries to a remote host
18.218.46.23;US;scanner;seen initiating an SSH connection
74.82.47.42;US;scanner;identified as sending recursive DNS queries to a remote host
58.218.205.210;CN;scanner;seen initiating a VNC remote frame buffer session to a remote host
164.132.109.173;FR;scanner;seen initiating an SSH connection
119.27.165.103;CN;scanner;seen initiating an SSH connection
71.193.129.134;US;scanner;seen attempting to remotely login using SSH password authentication
148.0.104.163;DO;scanner;seen attempting to remotely login using SSH password authentication
183.196.223.52;CN;scanner;seen initiating an SSH connection
117.3.146.38;VN;scanner;seen attempting to remotely login using SSH password authentication
91.248.181.210;DE;scanner;seen attempting to remotely login using SSH password authentication
74.82.47.58;US;scanner;identified as sending recursive DNS queries to a remote host
119.42.127.153;TH;scanner;seen attempting to remotely login using SSH password authentication
138.68.50.250;US;scanner;seen initiating an SSH connection
74.82.47.10;US;scanner;identified as sending recursive DNS queries to a remote host
197.53.81.75;EG;scanner;seen attempting to remotely login using SSH password authentication
134.236.214.2;TH;scanner;seen initiating an SSH connection
74.82.47.2;US;scanner;identified as sending recursive DNS queries to a remote host
115.248.183.153;IN;botnet;IP used by ranbyus C&C
52.50.248.86;US;botnet;IP used by suppobox C&C
77.104.146.26;BG;botnet;IP used by suppobox C&C
91.184.0.100;NL;botnet;IP used by suppobox C&C
150.60.158.12;JP;botnet;IP used by suppobox C&C
219.94.129.12;JP;botnet;IP used by suppobox C&C
219.94.155.215;JP;botnet;IP used by suppobox C&C
59.106.19.106;JP;botnet;IP used by suppobox C&C
109.68.33.64;GB;botnet;IP used by suppobox C&C
176.32.32.137;RU;scanner;seen initiating a SIP OPTIONS query to a remote host
91.121.84.62;FR;scanner;seen initiating an SSH connection
202.131.152.2;IN;scanner;seen initiating an SSH connection
179.149.147.66;BR;scanner;seen initiating an SSH connection
112.93.160.223;CN;uce|uce-ip;ip addresses of hosts seen delivering unsolicited commercial email (spam)
74.82.47.22;US;scanner;identified as sending recursive DNS queries to a remote host
74.82.47.14;US;scanner;identified as sending recursive DNS queries to a remote host
179.90.237.139;BR;scanner;seen initiating an SSH connection
74.82.47.54;US;scanner;identified as sending recursive DNS queries to a remote host
1.215.121.242;KR;scanner;seen initiating a VNC remote frame buffer session to a remote host
179.130.111.141;BR;scanner;seen initiating an SSH connection
142.4.4.32;US;scanner;seen initiating an SSH connection
181.198.216.198;EC;scanner;seen initiating an SSH connection
190.214.238.93;EC;scanner;seen initiating an SSH connection
181.198.216.11;EC;scanner;seen initiating an SSH connection
113.190.230.109;VN;scanner;seen initiating an SSH connection
74.82.47.30;US;scanner;identified as sending recursive DNS queries to a remote host
185.114.226.32;EU;scanner;seen initiating an SSH connection
87.81.147.64;GB;scanner;seen initiating an SSH connection
185.94.188.130;GB;scanner;identified as sending DNS CH TXT VERSION.BIND queries to a remote host
177.114.245.106;BR;scanner;seen initiating an SSH connection
74.82.47.6;US;scanner;identified as sending recursive DNS queries to a remote host
183.15.179.108;CN;scanner;seen initiating an SSH connection
186.202.153.64;BR;spam;Direct UBE sources, spam operations & spam services
103.26.41.71;SG;spam;Direct UBE sources, spam operations & spam services
31.15.12.139;CZ;spam;Direct UBE sources, spam operations & spam services
91.239.90.75;PL;spam;Direct UBE sources, spam operations & spam services
82.151.131.234;TR;spam;Direct UBE sources, spam operations & spam services
121.201.51.102;CN;suspicious|rdata;
121.201.51.98;CN;suspicious|rdata;
121.201.51.254;CN;suspicious|rdata;
121.201.51.111;CN;suspicious|rdata;
180.183.13.249;TH;scanner;seen initiating an SSH connection
87.97.93.215;HU;bot;
89.248.167.159;NL;bot;
178.122.73.52;BY;scanner;
178.124.159.155;BY;scanner;
213.24.127.202;RU;scanner;
27.34.44.53;NP;scanner;
62.12.1.29;NL;scanner;
83.233.6.93;SE;scanner;
95.130.54.2;ES;scanner;
156.212.13.74;EG;scanner;
185.223.29.30;DE;scanner;
197.51.174.121;EG;scanner;
212.91.4.138;PL;scanner;
79.211.73.99;DE;scanner;
124.7.227.108;IN;scanner;
14.176.83.140;VN;scanner;
177.114.120.223;BR;scanner;
147.75.56.158;CH;scanner;
177.79.101.200;BR;scanner;
107.170.136.175;US;scanner;
179.52.150.222;DO;scanner;
117.64.233.7;CN;bot;
118.255.42.23;CN;bot;
125.115.133.113;CN;bot;
183.135.173.68;CN;bot;
49.69.125.223;CN;bot;
117.62.32.226;CN;bot;
183.135.172.117;CN;bot;
183.135.175.28;CN;bot;
115.223.91.198;CN;bot;
183.135.168.15;CN;bot;
189.69.161.113;BR;bot;
49.76.87.78;CN;bot;
120.230.84.194;CN;bot;
27.184.2.220;CN;bot;
112.66.85.222;CN;bot;
116.114.247.129;CN;bot;
119.54.65.214;CN;bot;
123.139.173.122;CN;bot;
111.193.7.129;CN;bot;
114.253.242.194;CN;bot;
118.122.138.51;CN;bot;
125.231.121.37;TW;bot;
27.18.45.220;CN;bot;
60.160.242.65;CN;bot;
1.204.4.140;CN;bot;
124.238.101.83;CN;bot;
125.74.171.224;CN;bot;
111.23.221.12;CN;bot;
116.30.218.8;CN;bot;
61.159.207.164;CN;bot;
185.158.119.167;DE;botnet;holly-metters
212.86.109.70;UA;botnet;Frankcip
58.71.72.70;PH;botnet;Extractioniet
77.79.130.35;RU;botnet;Alekseywep
23.250.3.67;CA;botnet;ingeborgpatel
58.181.39.182;KR;botnet;Frankcip
46.191.206.68;RU;botnet;VladimirLew
134.119.212.145;DE;botnet;53280
191.101.73.226;CL;botnet;michaelfarr
181.214.210.41;CL;botnet;christopernegrete
46.243.219.132;NL;botnet;GregoryDaunk
89.42.145.141;RO;botnet;yaquelynwalls
181.214.210.112;CL;botnet;israel.avey39
165.227.146.223;US;bot;
183.135.168.77;CN;bot;
36.7.102.19;CN;bot;
60.168.179.78;CN;bot;
46.148.27.47;UA;bot;
117.68.174.94;CN;bot;
171.7.7.1;TH;bot;
36.7.103.71;CN;bot;
58.208.114.141;CN;bot;
60.168.176.150;CN;bot;
60.168.181.87;CN;bot;
109.195.146.26;RU;bot;
117.64.235.247;CN;bot;
181.163.5.189;CL;bot;
223.237.247.104;IN;bot;
60.168.178.147;CN;bot;
60.168.182.171;CN;bot;
117.68.173.104;CN;bot;
117.68.173.105;CN;bot;
123.54.160.221;CN;bot;
60.168.176.93;CN;bot;
185.35.62.0/24;CH;scanner;
191.101.167.0/24;CL;scanner;
77.72.82.0/24;RU;scanner;
125.212.217.0/24;VN;scanner;
71.6.146.0/24;US;scanner;
146.0.77.0/24;NL;scanner;
5.188.11.0/24;RU;scanner;
223.197.184.0/24;HK;scanner;
191.96.249.0/24;CL;scanner;
85.93.20.0/24;DE;scanner;
181.214.87.0/24;CL;scanner;
5.188.86.0/24;RU;scanner;
77.72.85.0/24;RU;scanner;
80.82.77.0/24;NL;scanner;
89.248.168.0/24;NL;scanner;
125.64.94.0/24;CN;scanner;
5.188.10.0/24;RU;scanner;
196.52.43.0/24;ZA;scanner;
141.212.122.0/24;US;scanner;
58.218.213.0/24;CN;scanner;
180.76.15.157;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
107.174.221.111;US;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
138.204.71.115;BR;spam;Direct snowshoe spam sources detected via automation
189.114.67.217;BR;spam;Direct snowshoe spam sources detected via automation
202.146.85.238;MY;spam;Direct snowshoe spam sources detected via automation
45.115.94.88;IN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
78.4.96.90;IT;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
93.208.246.161;DE;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
113.176.31.35;VN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
220.179.107.94;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
110.78.155.251;TH;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
122.195.42.180;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
190.184.165.75;CO;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
14.37.169.239;KR;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
202.165.235.93;PK;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
5.36.196.226;OM;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
5.101.221.89;RU;suspicious;hijacked prefix
106.110.200.41;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
114.216.52.97;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
113.117.106.177;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
121.234.36.51;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
27.250.14.18;IN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
114.238.52.161;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
115.217.27.99;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
71.49.38.7;US;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
123.161.132.70;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
117.90.5.27;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
171.211.32.120;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
123.55.219.76;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
175.15.174.241;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
180.120.190.45;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
182.34.37.111;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
186.215.199.219;BR;spam;Direct snowshoe spam sources detected via automation
222.184.179.150;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
49.82.5.12;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
27.185.148.180;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
66.199.232.244;US;spam;Direct snowshoe spam sources detected via automation
188.72.96.57;NL;spam;Direct UBE sources, spam operations & spam services
106.42.196.164;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
113.121.241.78;CN;spam;Direct snowshoe spam sources detected via automation
115.150.14.44;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
115.221.124.79;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
117.95.201.149;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
123.163.152.41;CN;spam;Direct snowshoe spam sources detected via automation
125.113.103.211;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
171.211.32.195;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
182.34.53.208;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
175.15.197.165;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
186.86.246.122;CO;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
222.185.147.62;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
27.43.186.96;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
49.70.64.185;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
58.52.156.138;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
49.82.6.66;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
71.54.151.119;US;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
113.190.117.173;VN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
123.21.211.125;VN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
154.116.98.184;GA;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
196.187.195.244;TN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
179.171.96.122;BR;spam;Direct snowshoe spam sources detected via automation
136.144.185.77;NL;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
220.128.92.70;TW;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
171.223.172.132;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
54.37.1.116;FR;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
189.204.10.221;MX;spam;Direct snowshoe spam sources detected via automation
37.49.224.56;NL;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
59.63.28.62;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
143.137.157.34;BR;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
123.125.96.246;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
190.90.134.57;CO;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
58.247.6.196;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
43.241.8.49;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
82.178.141.118;OM;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
109.102.111.87;RO;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
42.114.94.128;VN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
138.122.195.123;HN;spam;Direct UBE sources, spam operations & spam services
114.227.33.39;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
1.196.112.155;CN;spam;Direct snowshoe spam sources detected via automation
111.179.73.92;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
122.246.49.108;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
114.223.158.159;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
36.25.100.250;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
116.208.55.157;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
115.203.221.96;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
164.132.24.138;FR;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
117.86.91.220;CN;spam;Direct snowshoe spam sources detected via automation
14.177.51.14;VN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
121.226.163.229;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
180.106.240.114;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
171.223.174.23;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
107.155.152.14;US;spam;Direct UBE sources, spam operations & spam services
182.138.218.144;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
190.238.105.168;PE;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
223.155.232.64;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
49.77.19.56;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
39.43.148.15;PK;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
49.89.85.113;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
59.32.37.4;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
95.111.39.102;BG;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
59.63.28.57;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
5.157.53.103;EE;spam;Direct UBE sources, spam operations & spam services
115.192.64.136;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
113.124.217.140;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
119.153.106.40;PK;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
116.17.236.98;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
123.255.248.254;IN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
125.69.126.148;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
178.79.0.16;RS;spam;Direct snowshoe spam sources detected via automation
171.217.142.234;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
181.176.59.193;PE;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
182.42.36.240;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
222.189.244.124;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
189.202.80.203;MX;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
49.71.245.111;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
49.82.6.73;CN;spam;Direct snowshoe spam sources detected via automation
105.158.31.112;MA;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
59.32.37.128;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
117.0.192.93;VN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
79.176.32.61;IL;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
123.252.186.111;IN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
78.41.207.199;NL;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
72.76.205.94;US;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
89.247.7.239;DE;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
5.39.85.81;FR;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
177.10.110.50;BR;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
210.21.61.228;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
218.241.251.163;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
188.72.96.191;NL;spam;Direct UBE sources, spam operations & spam services
111.79.198.217;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
1.198.73.53;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
115.213.178.209;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
114.228.81.121;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
122.231.38.248;CN;exploit;CBL + customised NJABL. 3rd party exploits (proxies, trojans, etc.)
